Visitor ID,Date,Response,Rating,Account ID
user-aacs.live-494,2018-10-04 06:44:09,,10,aacs.live::9999999-Ashtabula Area City Schools
user-aacs.live-611,2018-10-04 06:02:41,I like how questions are already created for assessments and that all of the results are stored in one place for easy access. ,9,aacs.live::9999999-Ashtabula Area City Schools
user-achievementfirst.live-10095,2018-10-04 06:51:27,,0,achievementfirst.live::9999999-Achievement First
user-achievementfirst.live-7622,2018-10-04 06:34:22,,10,achievementfirst.live::9999999-Achievement First
user-achievementfirst.live-7653,2018-10-04 06:01:23,,10,achievementfirst.live::9999999-Achievement First
user-achievementfirst.live-7695,2018-10-04 06:41:22,,2,achievementfirst.live::9999999-Achievement First
user-achievementfirst.live-8000,2018-10-04 06:02:48,,8,achievementfirst.live::9999999-Achievement First
user-achievementfirst.live-8096,2018-10-04 06:08:52,,7,achievementfirst.live::9999999-Achievement First
user-achievementfirst.live-9958,2018-10-04 06:58:12,I think on the forefront Illuminate is a great tool and useful. But its use is convoluted and very wonky. I think it can be more user friendly and less glitchy. ,5,achievementfirst.live::9999999-Achievement First
user-acsk.live-281,2018-10-04 06:56:41,There are no questions specific to the new Tennessee Science standards in the item bank. ,7,acsk.live::9999999-Arlington Community Schools
user-agora.live-1596,2018-10-04 06:12:59,,10,agora.live::9999999-Agora Cyber Charter School
user-agora.live-966,2018-10-04 06:21:01,,10,agora.live::9999999-Agora Cyber Charter School
user-albemarle.live-3138,2018-10-04 06:38:20,,0,albemarle.live::9999999-Albemarle County Public Schools
user-albemarle.live-3799,2018-10-04 06:39:39,,7,albemarle.live::9999999-Albemarle County Public Schools
user-albemarle.live-4192,2018-10-04 06:31:44,,10,albemarle.live::9999999-Albemarle County Public Schools
user-albemarle.live-5164,2018-10-04 06:12:05,,8,albemarle.live::9999999-Albemarle County Public Schools
user-alhambra.live-1203,2018-10-04 06:29:16,Like the tests I can give and the fast access to lots of data about my students.,9,alhambra.live::9999999-Alhambra Unified School District
user-amaesd.ise-196,2018-10-04 06:25:13,,9,amaesd.ise::60020-Hillman Community Schools Dist
user-amaesd.ise-360,2018-10-04 06:38:07,,7,amaesd.ise::9999999-Consortium
user-appling.live-567,2018-10-04 06:14:03,User Friendly,10,appling.live::9999999-Appling County School System
user-apsb.live-1022,2018-10-04 06:56:28,,6,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-1108,2018-10-04 06:46:58,,10,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-1251,2018-10-04 06:35:30,It is a great program but it is very slow. I also wish it was easier to enter/edit answers,6,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-1252,2018-10-04 06:00:40,,8,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-1519,2018-10-04 06:13:16,,10,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-219,2018-10-04 06:01:26,Unreliable when too many students are on the website,0,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-26,2018-10-04 06:12:19,,10,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-386,2018-10-04 06:38:44,,10,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-397,2018-10-04 06:00:08,,6,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-4289,2018-10-04 06:21:03,,10,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-4296,2018-10-04 06:40:09,,9,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-4337,2018-10-04 06:39:07,,5,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-4743,2018-10-04 06:12:45,,5,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-4968,2018-10-04 06:59:05,,10,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-5005,2018-10-04 06:38:52,,10,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-5091,2018-10-04 06:33:48,,1,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-5191,2018-10-04 06:45:45,,10,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-522,2018-10-04 06:33:13,"It is not user-friendly at all to build a teacher test. I don't understand why I must enter each test item separately along with the standard for each only to go back and find them to put a test together. It is absurd! I appreciate the data that Illuminate can provide with pre-made district benchmarks, but trying to create my own test takes hours and lots of frustration. Please make it easier to build a test from start to finish. ",4,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-533,2018-10-04 06:24:29,,0,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-5338,2018-10-04 06:15:16,,6,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-5340,2018-10-04 06:19:11,,5,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-5456,2018-10-04 06:00:58,,2,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-5634,2018-10-04 06:06:04,,10,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-5692,2018-10-04 06:03:17,NOT USER FRIENDLY,1,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-5693,2018-10-04 06:45:40,,8,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-63,2018-10-04 06:46:32,,8,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-707,2018-10-04 06:33:50,,0,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-868,2018-10-04 06:30:03,,10,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-966,2018-10-04 06:33:20,,4,apsb.live::9999999-Ascension Parish School Board
user-apsb.live-974,2018-10-04 06:10:22,"Illuminate is one of the least efficient ways to put a test online.  The amount of steps and how you have to create a item to attach it to test are majorly time consuming. With computing technology being what it is testing software should be simple, almost like dragging in dropping question along with the images all at the same time.  Uploading a document and the software creating the test does not seem so far fetched. I put a standard style test in a it took hour and half to simply input the test, and I had zero complications. I can not click any faster, by the end I had cramps in my fingers and wasted so much time putting in one of my 10 unit tests. Can not wait until the next one......",2,apsb.live::9999999-Ascension Parish School Board
user-arise.live-405,2018-10-04 06:32:34,,7,arise.live::9999999-ARISE Schools
