Visitor ID,Date,Rating,Response,Channel
user-achievementfirst.live-10008,2021-10-26 10:36:30,8,,In-app
user-achievementfirst.live-10871,2021-10-26 17:27:38,10,,In-app
user-achievementfirst.live-9591,2021-10-26 08:19:34,2,,In-app
user-acoe.live-473,2021-10-26 07:54:22,8,,In-app
user-acsk.live-281,2021-10-26 10:09:53,9,,In-app
user-agora.live-1114,2021-10-26 08:26:58,0,,In-app
user-agora.live-3592,2021-10-26 07:08:12,0,It's the most UN-USER FRIENDLY system I have EVER encountered.,In-app
user-ala.live-2670,2021-10-26 15:16:11,4,,In-app
user-ala.live-2677,2021-10-26 15:39:26,10,,In-app
user-ala.live-4533,2021-10-26 10:48:03,0,,In-app
user-ala.live-5712,2021-10-26 15:05:47,0,What is this 1970.  Outdated technology.  Google forms is easier to use and gives better data.,In-app
user-alachua.live-53402,2021-10-26 06:31:11,4,It Boggs down and and slows to a crawl every time I use it.,In-app
user-alachua.live-56700,2021-10-26 10:00:52,10,,In-app
user-albemarle.live-5412,2021-10-26 06:35:17,0,"too clunky, overly complex assessment creation, too sensitive--one edit and literally breaks",In-app
user-alisal.live-1032,2021-10-26 13:36:04,7,,In-app
user-alisal.live-129,2021-10-26 08:45:27,10,does the work for you lol,In-app
user-alisal.live-135,2021-10-26 09:24:17,6,,In-app
user-alisal.live-1385,2021-10-26 10:29:13,9,,In-app
user-alisal.live-146,2021-10-26 20:07:49,10,,In-app
user-alisal.live-31,2021-10-26 11:21:11,10,,In-app
user-alisal.live-32,2021-10-26 09:31:12,10,,In-app
user-alisal.live-85,2021-10-26 08:46:22,10,very easy to use,In-app
user-alisal.live-914,2021-10-26 15:51:51,7,,In-app
user-altus.live-2059,2021-10-26 07:36:02,5,,In-app
user-altus.live-419,2021-10-26 10:28:08,8,,In-app
user-altus.live-680,2021-10-26 10:13:43,0,Not user friendly.,In-app
user-altus.live-914,2021-10-26 10:26:26,0,,In-app
user-amaesd.ise-2169,2021-10-26 08:41:41,10,,In-app
user-amaesd.ise-2360,2021-10-26 06:40:17,7,,In-app
user-amaesd.ise-391,2021-10-26 17:25:53,4,,In-app
user-ambercharter.live-277,2021-10-26 08:17:04,10,,In-app
user-antioch.live-3590,2021-10-26 09:04:10,7,I think that I would appreciate it more if we were given a tutorial and had time to explore it.  I'm using the basics because that's all I know at this time.,In-app
user-apsb.live-533,2021-10-26 06:34:53,0,,In-app
user-apsb.live-6874,2021-10-26 13:35:34,2,Hard to work and time consuming compared to other similar programs,In-app
user-apsb.live-878,2021-10-26 06:31:13,1,I find it very difficult/time consuming to create assessment with this program.,In-app
user-artesiaps.live-211,2021-10-26 06:49:10,1,We are all using the same program already. I don't have to inform them of it.,In-app
user-arusd.live-3001,2021-10-26 14:02:16,3,It is not teacher friendly!!!!!,In-app
user-arusd.live-3018,2021-10-26 14:12:24,8,,In-app
user-ascendlearning.live-2429,2021-10-26 14:11:49,8,,In-app
user-aspire.live-7906,2021-10-26 20:59:33,4,There is a problem with with my camera that our IT team cannot solve. There is an error with camera in which it fails to load until I clear browsing data.,In-app
user-auhsd.dna-1016202,2021-10-26 09:21:15,0,"It's not user friendly and I haven't found that the support desk is happy to help. I feel more frustrated than anything.
",In-app
user-auroraps.live-2582,2021-10-26 07:35:14,0,To cumbersome,In-app
user-auroraps.live-2905,2021-10-26 09:41:31,8,,In-app
user-auroraps.live-3568,2021-10-26 07:07:34,0,,In-app
user-ausd.dna-1612,2021-10-26 15:34:46,9,,In-app
user-ausd.dna-598,2021-10-26 17:45:50,6,,In-app
user-austintown.live-400,2021-10-26 06:12:36,10,,In-app
user-azusa.live-696,2021-10-26 16:44:19,9,,In-app
user-azusa.live-732,2021-10-26 16:00:06,0,"I am not satisfied with the reports.  I would like to be able to add more information (such as demographics, teacher name, etc.) to the reports so I can use the data more effectively.  Also, the Student Profile Report is extremely cumbersome.  I am really not happy with Illuminate.  I wish you had just copied exactly what the previous service that you purchased was doing so it was not such a disruption to the school site when you overtook their company.",In-app
user-baldwin.live-1223,2021-10-26 08:50:11,0,,In-app
user-baldwin.live-1251,2021-10-26 09:30:50,0,,In-app
user-bangorschools.live-239,2021-10-26 07:49:30,10,,In-app
user-bcsd.live-11772,2021-10-26 09:27:52,5,,In-app
user-bcsd.live-13162,2021-10-26 10:52:54,10,,In-app
user-belen.live-2264,2021-10-26 07:34:27,10,Easy to use,In-app
user-berkeley.dna-11276,2021-10-26 11:35:09,8,,In-app
user-berkeley.dna-13121,2021-10-26 13:27:06,6,,In-app
user-berrienresa.ise-18493,2021-10-26 13:09:49,10,,In-app
user-berrienresa.ise-18507,2021-10-26 10:16:52,6,,In-app
user-berrienresa.ise-19221,2021-10-26 07:38:55,0,"In a nut shell, it is not an easy program to navigate.  ",In-app
user-berrienresa.ise-20641,2021-10-26 12:03:26,5,,In-app
user-berrienresa.ise-20688,2021-10-26 11:53:33,8,,In-app
user-berrienresa.ise-20719,2021-10-26 09:19:34,9,,In-app
user-berrienresa.ise-20840,2021-10-26 07:59:45,0,slow and not user friendly or intuitive,In-app
user-berrienresa.ise-22015,2021-10-26 06:11:18,5,,In-app
user-besd33.live-568,2021-10-26 09:54:21,10,,In-app
user-besd33.live-962,2021-10-26 12:45:44,1,,In-app
user-bgreen.live-17289,2021-10-26 06:11:24,7,,In-app
user-biloxischools.live-306,2021-10-26 10:26:03,3,"It's very limited. I feel as though if they took over IO Assessment, they should have all of those features available and more. We can't even give partial credit on questions with 4 parts. It truly hurts students' grades. It is just not fair to our students and it is a lot of work for the teacher also. We can't share a draft. We collaborate, so that's not ideal. We have to look for everything. Some of the reports are wonderful, but it is too time consuming. As demanding as our jobs are, we need to be able to complete some tasks faster and easier. ",In-app
user-biloxischools.live-431,2021-10-26 11:07:15,9,,In-app
user-bloomfieldhills.live-1300,2021-10-26 07:27:15,10,,In-app
user-bloomfieldhills.live-335,2021-10-26 15:19:01,3,,In-app
user-bonita.dna-10599,2021-10-26 09:22:54,1,It's a pretty flawed and clumsy program,In-app
user-bostonpublicschools.live-10975,2021-10-26 07:07:53,8,,In-app
user-bostonpublicschools.live-6964,2021-10-26 10:26:04,1,This is way too consuming and time-consuming and it does not support Science like it does Math and ELa. ,In-app
user-bousd.dna-1936,2021-10-26 15:11:44,8,,In-app
user-brandon.live-49,2021-10-26 09:39:34,4,,In-app
user-brighton.live-2197,2021-10-26 11:19:41,10,,In-app
